Quotazioni Fantacalcio Stagione 2022 23,,,,,,,,,,,,
Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
572,P,Por,Meret,Napoli,17,14,3,17,14,3,71,71
2814,P,Por,Provedel,Lazio,17,7,10,17,7,10,78,78
4312,P,Por,Maignan,Milan,16,18,-2,16,18,-2,62,62
4964,P,Por,Vicario,Empoli,15,9,6,15,9,6,27,27
453,P,Por,Szczesny,Juventus,14,16,-2,14,16,-2,53,53
133,P,Por,Skorupski,Bologna,13,11,2,13,11,2,32,32
2134,P,Por,Falcone,Lecce,13,5,8,13,5,8,32,32
2211,P,Por,Silvestri,Udinese,13,10,3,13,10,3,29,29
4270,P,Por,Rui Patricio,Roma,13,14,-1,13,14,-1,42,42
5876,P,Por,Di Gregorio,Monza,13,1,12,13,1,12,40,40
2170,P,Por,Milinkovic-Savic V.,Torino,12,1,11,12,1,11,32,32
5830,P,Por,Onana,Inter,12,1,11,12,1,11,42,42
4,P,Por,Sportiello,Atalanta,10,1,9,10,1,9,23,23
1917,P,Por,Dragowski,Spezia,10,7,3,10,7,3,24,24
2815,P,Por,Terracciano,Fiorentina,10,1,9,10,1,9,38,38
4431,P,Por,Carnesecchi,Cremonese,10,1,9,10,1,9,13,13
4957,P,Por,Montipo',Verona,10,11,-1,10,11,-1,19,19
6120,P,Por,Ochoa,Salernitana,10,2,8,10,2,8,36,36
218,P,Por,Perin,Juventus,9,1,8,9,1,8,4,4
2294,P,Por,Cerofolini,Fiorentina,9,1,8,9,1,8,1,1
2792,P,Por,Musso,Atalanta,9,13,-4,9,13,-4,5,5
159,P,Por,Sepe,Salernitana,8,8,0,8,8,0,1,1
250,P,Por,Handanovic,Inter,8,16,-8,8,16,-8,4,4
509,P,Por,Consigli,Sassuolo,7,11,-4,7,11,-4,24,24
761,P,Por,Audero,Sampdoria,7,10,-3,7,10,-3,5,5
610,P,Por,Gollini,Napoli,6,12,-6,6,12,-6,8,8
673,P,Por,Perisan,Empoli,6,1,5,6,1,5,1,1
160,P,Por,Tatarusanu,Milan,5,1,4,5,1,4,1,1
1889,P,Por,Cordaz,Inter,4,1,3,4,1,3,1,1
5005,P,Por,Zoet,Spezia,4,1,3,4,1,3,1,1
5841,P,Por,Svilar,Roma,4,1,3,4,1,3,1,1
42,P,Por,Sarr M.,Cremonese,2,1,1,2,1,1,1,1
510,P,Por,Pegolo,Sassuolo,2,1,1,2,1,1,1,1
4977,P,Por,Ravaglia,Sampdoria,2,1,1,2,1,1,3,3
6135,P,Por,Turk,Sampdoria,2,1,1,2,1,1,1,1
41,P,Por,Mirante,Milan,1,1,0,1,1,0,1,1
217,P,Por,Lamanna,Monza,1,1,0,1,1,0,1,1
220,P,Por,Ujkani,Empoli,1,1,0,1,1,0,1,1
316,P,Por,Berisha,Torino,1,11,-10,1,11,-10,1,1
318,P,Por,Marchetti,Spezia,1,1,0,1,1,0,1,1
511,P,Por,Perilli,Verona,1,1,0,1,1,0,1,1
543,P,Por,Padelli,Udinese,1,1,0,1,1,0,1,1
799,P,Por,Bardi,Bologna,1,1,0,1,1,0,1,1
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1
1947,P,Por,Fiorillo,Salernitana,1,1,0,1,1,0,1,1
2178,P,Por,Cragno,Monza,1,11,-10,1,11,-10,1,1
2179,P,Por,Sirigu,Fiorentina,1,1,0,1,1,0,1,1
2297,P,Por,Rossi F.,Atalanta,1,1,0,1,1,0,1,1
2722,P,Por,Ravaglia F.,Bologna,1,1,0,1,1,0,1,1
4351,P,Por,Brancolini,Lecce,1,1,0,1,1,0,1,1
4468,P,Por,Bleve,Lecce,1,1,0,1,1,0,1,1
4491,P,Por,Berardi A.,Verona,1,1,0,1,1,0,1,1
4518,P,Por,Russo A.,Sassuolo,1,1,0,1,1,0,1,1
4525,P,Por,Gemello,Torino,1,1,0,1,1,0,1,1
5304,P,Por,Boer,Roma,1,1,0,1,1,0,1,1
5502,P,Por,Adamonis,Lazio,1,1,0,1,1,0,1,1
5518,P,Por,Marfella,Napoli,1,1,0,1,1,0,1,1
5528,P,Por,Zovko,Spezia,1,1,0,1,1,0,1,1
5707,P,Por,Piana,Udinese,1,1,0,1,1,0,1,1
5822,P,Por,Bagnolini,Bologna,1,1,0,1,1,0,1,1
5832,P,Por,Luis Maximiano,Lazio,1,12,-11,1,12,-11,1,1
5853,P,Por,Sorrentino A.,Monza,1,1,0,1,1,0,1,1
5887,P,Por,Ciezkowski,Cremonese,1,1,0,1,1,0,1,1
6029,P,Por,Saro,Cremonese,1,1,0,1,1,0,1,1
6125,P,Por,Vasquez D.,Milan,1,1,0,1,1,0,1,1
6184,P,Por,Martinelli T.,Fiorentina,1,1,0,1,1,0,1,1
5877,D,Ds;E,Carlos Augusto,Monza,19,8,11,19,8,11,58,58
254,D,Ds;Dc;E,Dimarco,Inter,18,8,10,18,9,9,53,58
6066,D,Dd;Dc,Posch,Bologna,18,8,10,18,9,9,56,56
2816,D,Dd;E,Di Lorenzo,Napoli,17,15,2,17,15,2,67,67
554,D,E,Zappacosta,Atalanta,16,11,5,16,10,6,24,24
4237,D,Dd;Ds;E,Danilo,Juventus,16,12,4,15,14,1,40,42
4245,D,Dc,Smalling,Roma,16,14,2,16,14,2,42,42
5892,D,Dc,Kim,Napoli,15,13,2,15,13,2,49,49
460,D,Dc,Romagnoli,Lazio,14,11,3,14,11,3,32,32
4292,D,Ds;E,Hernandez T.,Milan,14,20,-6,14,22,-8,59,59
5355,D,Ds;E,Udogie,Udinese,14,13,1,14,13,1,42,42
5480,D,Dd;E,Ebuehi,Empoli,14,3,11,14,3,11,12,12
5481,D,Dd;E,Mazzocchi,Salernitana,14,7,7,14,7,7,28,28
5862,D,Ds;E,Valeri,Cremonese,14,5,9,14,5,9,16,16
4409,D,Dc,Rrahmani,Napoli,13,14,-1,13,14,-1,44,44
5527,D,Dd;E,Zanoli,Sampdoria,13,3,10,13,3,10,20,20
5851,D,Ds;E,Doig,Verona,13,6,7,13,6,7,24,26
2160,D,E,Gosens,Inter,12,19,-7,12,18,-6,20,20
2724,D,Ds;Dc,Buongiorno,Torino,12,4,8,12,5,7,36,40
2788,D,Dc,Bremer,Juventus,12,18,-6,12,18,-6,55,55
5835,D,Dd;Ds;Dc,Baschirotto,Lecce,12,2,10,12,2,10,34,39
6041,D,Dc,Schuurs,Torino,12,9,3,12,9,3,51,51
1852,D,Ds;E,Spinazzola,Roma,11,12,-1,11,13,-2,25,26
2296,D,Dc,Mancini,Roma,11,10,1,11,10,1,29,30
4751,D,Dc,Tomori,Milan,11,15,-4,11,15,-4,43,43
5449,D,Ds;E,Parisi,Empoli,11,8,3,11,8,3,27,26
5840,D,Ds;E,Olivera,Napoli,11,7,4,11,7,4,22,22
140,D,Dd;Ds;E,Hysaj,Lazio,10,6,4,10,6,4,20,23
252,D,Ds;E,Biraghi,Fiorentina,10,13,-3,10,13,-3,33,33
393,D,Ds;Dc,Luperto,Empoli,10,5,5,10,6,4,22,24
695,D,Dc,Toloi,Atalanta,10,8,2,10,8,2,12,12
2120,D,Dc,Bastoni,Inter,10,15,-5,10,15,-5,32,32
2141,D,Dd;E,Depaoli,Verona,10,4,6,10,4,6,10,10
2525,D,E,Darmian,Inter,10,9,1,11,8,3,18,17
4421,D,Ds;E,Augello,Sampdoria,10,7,3,10,7,3,17,17
5332,D,E;C,Bastoni S.,Spezia,10,12,-2,10,13,-3,14,18
5375,D,E,Maehle,Atalanta,10,8,2,10,7,3,18,17
5498,D,Dd;Dc,Casale,Lazio,10,9,1,10,10,0,27,30
5513,D,E,Dumfries,Inter,10,20,-10,10,19,-9,14,14
5526,D,Dc,Scalvini,Atalanta,10,6,4,10,6,4,23,23
5677,D,Dc,Perez N.,Udinese,10,8,2,10,8,2,15,16
5847,D,Dc,Bijol,Udinese,10,5,5,10,5,5,33,33
142,D,Ds;E,Mario Rui,Napoli,9,9,0,9,9,0,27,27
513,D,Dc,Acerbi,Inter,9,8,1,9,8,1,22,22
581,D,Dd;E,Faraoni,Verona,9,13,-4,9,13,-4,21,21
2164,D,Dd;Dc,Milenkovic,Fiorentina,9,11,-2,9,12,-3,16,19
2169,D,Ds;Dc;E,Rodriguez R.,Torino,9,7,2,9,8,1,22,25
2739,D,Ds;E,Reca,Spezia,9,5,4,9,5,4,14,14
4530,D,Ds;E,Kyriakopoulos,Bologna,9,6,3,9,6,3,12,12
4899,D,E,Singo,Torino,9,14,-5,9,13,-4,20,20
4904,D,Dc,Mari',Monza,9,11,-2,9,11,-2,18,18
5520,D,Dd;Ds;E,Cambiaso,Bologna,9,9,0,9,10,-1,12,12
5885,D,Dd;E,Dodo',Fiorentina,9,14,-5,9,14,-5,32,32
