Quotazioni Fantacalcio Stagione 2019 20,,,,,,,,,,,,
Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
350,P,Por,Donnarumma G.,Milan,15,15,0,15,15,0,0,0
250,P,Por,Handanovic,Inter,14,18,-4,14,18,-4,0,0
1934,P,Por,Strakosha,Lazio,12,13,-1,12,13,-1,0,0
2792,P,Por,Musso,Udinese,12,9,3,12,9,3,0,0
453,P,Por,Szczesny,Juventus,11,17,-6,11,17,-6,0,0
159,P,Por,Sepe,Parma,10,8,2,10,8,2,0,0
610,P,Por,Gollini,Atalanta,10,14,-4,10,14,-4,0,0
2178,P,Por,Cragno,Cagliari,10,11,-1,10,11,-1,0,0
2211,P,Por,Silvestri,Verona,10,6,4,10,6,4,0,0
1917,P,Por,Dragowski,Fiorentina,9,11,-2,9,11,-2,0,0
4419,P,Por,Pau Lopez,Roma,9,14,-5,9,14,-5,0,0
2179,P,Por,Sirigu,Torino,8,14,-6,8,14,-6,0,0
2468,P,Por,Ospina,Napoli,8,3,5,8,3,5,0,0
509,P,Por,Consigli,Sassuolo,7,10,-3,7,10,-3,0,0
133,P,Por,Skorupski,Bologna,6,9,-3,7,9,-2,0,0
572,P,Por,Meret,Napoli,6,15,-9,7,15,-8,0,0
761,P,Por,Audero,Sampdoria,6,11,-5,6,11,-5,0,0
2815,P,Por,Terracciano,Fiorentina,6,1,5,6,1,5,0,0
218,P,Por,Perin,Genoa,5,1,4,5,1,4,0,0
316,P,Por,Berisha,SPAL,5,8,-3,5,8,-3,0,0
385,P,Por,Gabriel,Lecce,5,6,-1,5,6,-1,0,0
4425,P,Por,Joronen,Brescia,5,6,-1,5,6,-1,0,0
4,P,Por,Sportiello,Atalanta,3,1,2,3,1,2,0,0
41,P,Por,Mirante,Roma,3,1,2,3,1,2,0,0
282,P,Por,Buffon,Juventus,3,4,-1,3,4,-1,0,0
510,P,Por,Pegolo,Sassuolo,3,1,2,3,1,2,0,0
1930,P,Por,Pinsoglio,Juventus,2,1,1,2,1,1,0,0
4441,P,Por,Andrenacci,Brescia,2,1,1,2,1,1,0,0
3,P,Por,Radunovic,Verona,1,1,0,1,1,0,0,0
40,P,Por,Da Costa,Bologna,1,1,0,1,1,0,0,0
42,P,Por,Sarr M.,Bologna,1,1,0,1,1,0,0,0
97,P,Por,Seculin,Sampdoria,1,1,0,1,1,0,0,0
216,P,Por,Donnarumma An.,Milan,1,1,0,1,1,0,0,0
220,P,Por,Ujkani,Torino,1,1,0,1,1,0,0,0
248,P,Por,Berni,Inter,1,1,0,1,1,0,0,0
317,P,Por,Guerrieri,Lazio,1,1,0,1,1,0,0,0
318,P,Por,Marchetti,Genoa,1,1,0,1,1,0,0,0
412,P,Por,Colombi,Parma,1,1,0,1,1,0,0,0
542,P,Por,Ichazo,Genoa,1,1,0,1,1,0,0,0
543,P,Por,Padelli,Inter,1,1,0,1,1,0,0,0
570,P,Por,Karnezis,Napoli,1,1,0,1,1,0,0,0
611,P,Por,Rafael,Cagliari,1,1,0,1,1,0,0,0
673,P,Por,Perisan,Udinese,1,1,0,1,1,0,0,0
1843,P,Por,Radu I.,Parma,1,8,-7,1,8,-7,0,0
2134,P,Por,Falcone,Sampdoria,1,1,0,1,1,0,0,0
2271,P,Por,Nicolas,Udinese,1,1,0,1,1,0,0,0
2297,P,Por,Rossi F.,Atalanta,1,1,0,1,1,0,0,0
2761,P,Por,Vodisek,Genoa,1,1,0,1,1,0,0,0
2770,P,Por,Proto,Lazio,1,1,0,1,1,0,0,0
2781,P,Por,Fuzato,Roma,1,1,0,1,1,0,0,0
2790,P,Por,Rosati,Torino,1,1,0,1,1,0,0,0
2809,P,Por,Vigorito,Lecce,1,1,0,1,1,0,0,0
4351,P,Por,Brancolini,Fiorentina,1,1,0,1,1,0,0,0
4440,P,Por,Alfonso,Brescia,1,1,0,1,1,0,0,0
4485,P,Por,Thiam D.,SPAL,1,1,0,1,1,0,0,0
4491,P,Por,Berardi A.,Verona,1,1,0,1,1,0,0,0
4518,P,Por,Russo A.,Sassuolo,1,1,0,1,1,0,0,0
4520,P,Por,Letica,SPAL,1,1,0,1,1,0,0,0
4523,P,Por,Avogadri,Sampdoria,1,1,0,1,1,0,0,0
4867,P,Por,Turati,Sassuolo,1,1,0,1,1,0,0,0
4878,P,Por,Begovic,Milan,1,1,0,1,1,0,0,0
4883,P,Por,Breza,Bologna,1,1,0,1,1,0,0,0
4929,P,Por,Ciocci,Cagliari,1,1,0,1,1,0,0,0
2160,D,E,Gosens,Atalanta,27,15,12,26,14,12,0,0
2707,D,Dd;Ds;E,Young,Inter,21,9,12,21,10,11,0,0
4292,D,Ds;E,Hernandez T.,Milan,20,8,12,20,8,12,0,0
322,D,Dc,De Vrij,Inter,17,13,4,17,13,4,0,0
513,D,Dc,Acerbi,Lazio,16,14,2,16,14,2,0,0
2164,D,Dd;Dc,Milenkovic,Fiorentina,16,9,7,15,10,5,0,0
286,D,Dc,Bonucci,Juventus,15,11,4,15,11,4,0,0
2759,D,Ds;Dc;E,Criscito,Genoa,15,13,2,14,15,-1,0,0
581,D,Dd;E,Faraoni,Verona,14,4,10,14,4,10,0,0
2214,D,Ds;E,Kolarov,Roma,14,15,-1,14,15,-1,0,0
4245,D,Dc,Smalling,Roma,13,11,2,13,11,2,0,0
546,D,Dd;E,Bruno Peres,Roma,12,1,11,12,1,11,0,0
695,D,Dc,Toloi,Atalanta,12,10,2,12,10,2,0,0
73,D,Ds;Dc,Gagliolo,Parma,11,7,4,11,8,3,0,0
252,D,Ds;E,Biraghi,Inter,11,10,1,11,10,1,0,0
787,D,Dc,Djimsiti,Atalanta,11,8,3,11,8,3,0,0
2315,D,Dd;Dc;E,Stryger Larsen,Udinese,11,7,4,11,8,3,0,0
4428,D,Dc,De Ligt,Juventus,11,14,-3,11,14,-3,0,0
459,D,Dc,Manolas,Napoli,10,13,-3,10,13,-3,0,0
460,D,Dc,Romagnoli,Milan,10,14,-4,10,14,-4,0,0
1852,D,Ds;E,Spinazzola,Roma,10,7,3,10,7,3,0,0
2197,D,E,Castagne,Atalanta,10,14,-4,9,13,-4,0,0
2309,D,Dc,Pezzella Ger.,Fiorentina,10,10,0,10,10,0,0,0
2816,D,Dd;E,Di Lorenzo,Napoli,10,11,-1,10,11,-1,0,0
253,D,Dd;Ds;Dc,D'ambrosio,Inter,9,9,0,9,12,-3,0,0
2285,D,Dc,Bani,Bologna,9,5,4,9,4,5,0,0
4521,D,Dd;Dc,Muldur,Sassuolo,9,3,6,9,3,6,0,0
578,D,Dc,Danilo Lar.,Bologna,8,8,0,8,8,0,0,0
662,D,Ds;E,Alex Sandro,Juventus,8,14,-6,8,14,-6,0,0
798,D,Dc,Skriniar,Inter,8,15,-7,8,15,-7,0,0
1864,D,Dc,Bruno Alves,Parma,8,9,-1,8,9,-1,0,0
2181,D,Dc,Palomino,Atalanta,8,9,-1,8,9,-1,0,0
2280,D,Dc,Nuytinck,Udinese,8,4,4,8,4,4,0,0
2296,D,Dc,Mancini,Roma,8,14,-6,8,14,-6,0,0
2446,D,Dd;E,Donati,Lecce,8,2,6,8,2,6,0,0
2525,D,Dd;Ds;E,Darmian,Parma,8,8,0,8,9,-1,0,0
2788,D,Dc,Bremer,Torino,8,4,4,8,4,4,0,0
288,D,Dc,Chiellini,Juventus,7,14,-7,7,14,-7,0,0
791,D,Dd;E,Sabelli,Brescia,7,6,1,7,6,1,0,0
2006,D,Dd;E,Lirola,Fiorentina,7,11,-4,7,11,-4,0,0
2120,D,Dc,Bastoni,Inter,7,4,3,7,4,3,0,0
2335,D,Dc,Luiz Felipe,Lazio,7,7,0,7,7,0,0,0
2572,D,Dc,Godin,Inter,7,14,-7,7,14,-7,0,0
2801,D,Dd;Dc,Iacoponi,Parma,7,4,3,7,4,3,0,0
4409,D,Dd;Ds;Dc,Rrahmani,Verona,7,4,3,7,5,2,0,0
4530,D,Ds;E,Kyriakopoulos,Sassuolo,7,2,5,7,2,5,0,0
4895,D,Dc,Yoshida,Sampdoria,7,7,0,7,7,0,0,0
140,D,Dd;Ds;E,Hysaj,Napoli,6,7,-1,6,7,-1,0,0
244,D,Dd;E,Ghiglione,Genoa,6,3,3,6,3,3,0,0
287,D,Dd;Dc,Caceres,Fiorentina,6,4,2,6,4,2,0,0
329,D,Ds;Dc,Radu,Lazio,6,7,-1,6,7,-1,0,0
550,D,Dd;Dc,Maksimovic,Napoli,6,5,1,6,5,1,0,0
2130,D,E,Hateboer,Atalanta,6,16,-10,5,15,-10,0,0
2289,D,Ds;E,Dalbert,Fiorentina,6,3,3,6,3,3,0,0
2728,D,Ds;E,Pellegrini Lu.,Cagliari,6,6,0,6,6,0,0,0
4237,D,Dd;Ds;E,Danilo,Juventus,6,11,-5,6,12,-6,0,0
4421,D,Ds;E,Augello,Sampdoria,6,4,2,6,4,2,0,0
4422,D,Dd;Dc,Tomiyasu,Bologna,6,4,2,6,4,2,0,0
4426,D,Dd;Ds;E,Toljan,Sassuolo,6,7,-1,7,8,-1,0,0
4495,D,Dc,Kumbulla,Verona,6,1,5,6,1,5,0,0
4891,D,Dc,Soumaoro,Genoa,6,4,2,6,4,2,0,0
139,D,Dc,Dermaku,Parma,5,4,1,5,4,1,0,0
226,D,Dd;Dc,Izzo,Torino,5,16,-11,5,16,-11,0,0
357,D,Dd;E,Calabria,Milan,5,9,-4,5,9,-4,0,0
1866,D,Dc,Ceppitelli,Cagliari,5,7,-2,5,7,-2,0,0
1895,D,Dc,Ferrari G.,Sassuolo,5,9,-4,5,9,-4,0,0
2141,D,Dd;E,Depaoli,Sampdoria,5,6,-1,5,6,-1,0,0
2241,D,Dc,Lucioni,Lecce,5,5,0,5,5,0,0,0
2288,D,Dc,N'koulou,Torino,5,15,-10,5,15,-10,0,0
2318,D,Ds;E,Rogerio,Sassuolo,5,7,-2,5,7,-2,0,0
2633,D,Dc,Kjaer,Milan,5,8,-3,5,8,-3,0,0
2784,D,Dc,Colley,Sampdoria,5,7,-2,5,7,-2,0,0
4307,D,Dc,Romero,Genoa,5,9,-4,5,9,-4,0,0
4323,D,Ds;E,Zeegelaar,Udinese,5,3,2,5,3,2,0,0
4412,D,Dc,Rodrigo Becao,Udinese,5,7,-2,5,7,-2,0,0
4429,D,Dc,Chancellor,Brescia,5,5,0,5,5,0,0,0
4470,D,Ds;E,Calderoni,Lecce,5,6,-1,5,6,-1,0,0
4899,D,Dd;Dc;E,Singo,Torino,5,1,4,5,1,4,0,0
15,D,Dd;Dc,Masiello,Genoa,4,7,-3,4,7,-3,0,0
106,D,Dd;Ds;E,Mattiello,Cagliari,4,5,-1,4,6,-2,0,0
142,D,Ds;E,Mario Rui,Napoli,4,5,-1,4,5,-1,0,0
224,D,Dc,De Maio,Udinese,4,6,-2,4,6,-2,0,0
327,D,Dd;Dc;E,Patric,Lazio,4,2,2,4,2,2,0,0
392,D,Dc,Koulibaly,Napoli,4,16,-12,4,16,-12,0,0
790,D,Ds;Dc,Samir,Udinese,4,7,-3,4,7,-3,0,0
1869,D,Dd;Ds;Dc,Pisacane,Cagliari,4,4,0,4,5,-1,0,0
2192,D,Dc,Bonifazi,SPAL,4,8,-4,4,8,-4,0,0
2355,D,Dc,Marlon,Sassuolo,4,6,-2,4,6,-2,0,0
2758,D,Dc,Gunter,Verona,4,5,-1,4,5,-1,0,0
2870,D,Dc,Troost-Ekong,Udinese,4,5,-1,4,5,-1,0,0
4920,D,Dc,Papetti,Brescia,4,1,3,4,1,3,0,0
50,D,Dd;Ds;E,Mbaye,Bologna,3,5,-2,3,6,-3,0,0
254,D,Ds;E,Dimarco,Verona,3,3,0,3,3,0,0,0
261,D,Dc,Ranocchia,Inter,3,2,1,3,2,1,0,0
365,D,Dc,Zapata C.,Genoa,3,8,-5,3,8,-5,0,0
423,D,Dd;E,Rispoli,Lecce,3,5,-2,3,5,-2,0,0
487,D,Dd;E,De Silvestri,Torino,3,10,-7,3,10,-7,0,0
770,D,Ds;E,Pezzella Giu.,Parma,3,5,-2,3,5,-2,0,0
780,D,Dc,Cionek,SPAL,3,7,-4,3,7,-4,0,0
1896,D,Ds;E,Martella,Brescia,3,6,-3,3,6,-3,0,0
1999,D,E,Lukaku J.,Lazio,3,3,0,3,3,0,0,0
2083,D,Dd;Dc,Biraschi,Genoa,3,8,-5,3,8,-5,0,0
2174,D,Dd;Ds;E,Venuti,Fiorentina,3,4,-1,2,5,-3,0,0
2261,D,Dc,Vicari,SPAL,3,7,-4,3,7,-4,0,0
2279,D,Dc,Romagna,Sassuolo,3,5,-2,3,5,-2,0,0
2739,D,Ds;E,Reca,SPAL,3,4,-1,3,3,0,0,0
2865,D,E,Aina,Torino,3,8,-5,3,8,-5,0,0
2871,D,Dc,Klavan,Cagliari,3,6,-3,3,6,-3,0,0
4332,D,Dc,Demiral,Juventus,3,8,-5,3,8,-5,0,0
4373,D,Dd;Ds;E,Mateju,Brescia,3,5,-2,3,6,-3,0,0
4399,D,Ds;E,Vera,Lecce,3,2,1,3,2,1,0,0
4407,D,Ds;Dc,Igor,Fiorentina,3,7,-4,3,7,-4,0,0
4444,D,Dd;Dc;E,Semprini,Brescia,3,2,1,3,2,1,0,0
4472,D,Dc,Meccariello,Lecce,3,4,-1,3,4,-1,0,0
4529,D,Dd;E,Ankersen,Genoa,3,4,-1,3,4,-1,0,0
4888,D,Dd;Dc,Sutalo,Atalanta,3,1,2,3,1,2,0,0
4945,D,Ds;E,Calafiori,Roma,3,1,2,3,1,2,0,0
11,D,Dd;E,Conti,Milan,2,5,-3,2,5,-3,0,0
54,D,Dd;Dc,Rossettini,Lecce,2,5,-3,2,5,-3,0,0
141,D,Dd;E,Laurini,Parma,2,7,-5,2,7,-5,0,0
169,D,Dd;Dc,Tomovic,SPAL,2,4,-2,2,4,-2,0,0
256,D,Ds;Dc,Juan Jesus,Roma,2,5,-3,2,5,-3,0,0
262,D,Dd;Ds;E,Santon,Roma,2,3,-1,2,3,-1,0,0
390,D,Ds;E,Ghoulam,Napoli,2,12,-10,2,12,-10,0,0
418,D,Dc,Goldaniga,Genoa,2,4,-2,2,4,-2,0,0
490,D,Ds;Dc;E,Regini,Parma,2,2,0,2,2,0,0,0
517,D,Ds;Dc,Dell'orco,Lecce,2,4,-2,2,5,-3,0,0
521,D,Ds;Dc,Peluso,Sassuolo,2,3,-1,2,3,-1,0,0
554,D,Dd;E,Zappacosta,Roma,2,9,-7,2,9,-7,0,0
1847,D,Dc,Caldara,Atalanta,2,4,-2,2,4,-2,0,0
1891,D,Dd;Dc,Ceccherini,Fiorentina,2,5,-3,2,6,-4,0,0
1979,D,Ds;E,Barreca,Genoa,2,6,-4,2,6,-4,0,0
2016,D,Dc,Fazio,Roma,2,9,-7,2,9,-7,0,0
2062,D,Dc,Bastos,Lazio,2,6,-4,2,5,-3,0,0
2104,D,Dd;E,Bereszynski,Sampdoria,2,6,-4,2,6,-4,0,0
2653,D,Ds;E,Lykogiannis,Cagliari,2,4,-2,2,4,-2,0,0
2746,D,Ds;E,Dijks,Bologna,2,8,-6,2,8,-6,0,0
2747,D,Ds;Dc,Paz,Lecce,2,1,1,2,1,1,0,0
2769,D,Dc,Magnani,Sassuolo,2,6,-4,2,6,-4,0,0
2795,D,Dd;E,Ter Avest,Udinese,2,4,-2,2,4,-2,0,0
2869,D,Ds;Dc,Djidji,Torino,2,7,-5,2,8,-6,0,0
4331,D,Dc,Ibanez,Roma,2,2,0,2,2,0,0,0
4374,D,Dc,Walukiewicz,Cagliari,2,3,-1,2,3,-1,0,0
4401,D,Dc,Gabbia,Milan,2,1,1,2,1,1,0,0
4403,D,Dc,Chabot,Sampdoria,2,4,-2,2,4,-2,0,0
4414,D,Ds;Dc,Denswil,Bologna,2,7,-5,2,8,-6,0,0
4442,D,Dd;Dc,Cistana,Brescia,2,7,-5,2,7,-5,0,0
4504,D,Dc,Mangraviti,Brescia,2,1,1,2,1,1,0,0
4925,D,Ds;Dc,Carboni,Cagliari,2,1,1,2,1,1,0,0
45,D,Dd;Dc,Ferrari A.,Sampdoria,1,4,-3,1,4,-3,0,0
47,D,Dc,Gastaldello,Brescia,1,3,-2,1,2,-1,0,0
144,D,Dc,Tonelli,Sampdoria,1,5,-4,1,5,-4,0,0
294,D,Dc,Rugani,Juventus,1,7,-6,1,7,-6,0,0
295,D,Ds;E,Asamoah,Inter,1,10,-9,1,10,-9,0,0
358,D,Dd;Ds;E,De Sciglio,Juventus,1,5,-4,1,5,-4,0,0
393,D,Ds;Dc,Luperto,Napoli,1,3,-2,1,3,-2,0,0
491,D,Dc,Salamon,SPAL,1,3,-2,1,3,-2,0,0
493,D,Ds;Dc,Zukanovic,SPAL,1,5,-4,1,5,-4,0,0
630,D,Dd;E,Sala,SPAL,1,4,-3,1,4,-3,0,0
640,D,Dc,Chiriches,Sassuolo,1,4,-3,1,4,-3,0,0
708,D,Dc,Felipe,SPAL,1,6,-5,1,6,-5,0,0
824,D,Dd;E,Adjapong,Verona,1,3,-2,1,3,-2,0,0
1868,D,Ds;E,Murru,Sampdoria,1,8,-7,1,8,-7,0,0
