Quotazioni Fantacalcio Stagione 2017 18,,,,,,,,,,,,
Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
1964,P,Por,Alisson,Roma,18,13,5,18,13,5,0,0
250,P,Por,Handanovic,Inter,15,14,1,15,14,1,0,0
2179,P,Por,Sirigu,Torino,15,9,6,15,9,6,0,0
350,P,Por,Donnarumma G.,Milan,14,16,-2,14,16,-2,0,0
387,P,Por,Reina,Napoli,14,15,-1,14,15,-1,0,0
413,P,Por,Sorrentino,Chievo,13,8,5,14,8,6,0,0
4,P,Por,Sportiello,Fiorentina,12,10,2,13,10,3,0,0
218,P,Por,Perin,Genoa,12,8,4,12,8,4,0,0
282,P,Por,Buffon,Juventus,12,17,-5,12,17,-5,0,0
316,P,Por,Berisha,Atalanta,12,11,1,12,11,1,0,0
509,P,Por,Consigli,Sassuolo,11,9,2,12,9,3,0,0
1934,P,Por,Strakosha,Lazio,11,12,-1,12,12,0,0,0
1889,P,Por,Cordaz,Crotone,10,7,3,10,7,3,0,0
2178,P,Por,Cragno,Cagliari,10,8,2,11,8,3,0,0
41,P,Por,Mirante,Bologna,9,8,1,9,8,1,0,0
484,P,Por,Viviano,Sampdoria,9,10,-1,10,10,0,0,0
572,P,Por,Meret,SPAL,9,6,3,9,6,3,0,0
95,P,Por,Bizzarri,Udinese,8,1,7,9,1,8,0,0
2271,P,Por,Nicolas,Verona,7,6,1,8,6,2,0,0
453,P,Por,Szczesny,Juventus,6,1,5,7,1,6,0,0
483,P,Por,Puggioni,Benevento,6,1,5,6,1,5,0,0
540,P,Por,Gomis A,SPAL,5,1,4,6,1,5,0,0
610,P,Por,Gollini,Atalanta,4,1,3,4,1,3,0,0
611,P,Por,Rafael,Cagliari,3,1,2,3,1,2,0,0
40,P,Por,Da Costa,Bologna,2,1,1,2,1,1,0,0
133,P,Por,Skorupski,Roma,2,1,1,2,1,1,0,0
217,P,Por,Lamanna,Genoa,2,1,1,2,1,1,0,0
574,P,Por,Scuffet,Udinese,2,8,-6,2,8,-6,0,0
1930,P,Por,Pinsoglio,Juventus,2,1,1,2,1,1,0,0
2170,P,Por,Milinkovic-Savic V.,Torino,2,1,1,2,1,1,0,0
2297,P,Por,Rossi F.,Atalanta,2,1,1,2,1,1,0,0
97,P,Por,Seculin,Chievo,1,1,0,1,1,0,0,0
159,P,Por,Sepe,Napoli,1,1,0,1,1,0,0,0
216,P,Por,Donnarumma An.,Milan,1,1,0,1,1,0,0,0
248,P,Por,Berni,Inter,1,1,0,1,1,0,0,0
317,P,Por,Guerrieri,Lazio,1,1,0,1,1,0,0,0
318,P,Por,Marchetti,Lazio,1,6,-5,1,6,-5,0,0
386,P,Por,Rafael Cabral,Napoli,1,1,0,1,1,0,0,0
451,P,Por,Lobont,Roma,1,1,0,1,1,0,0,0
481,P,Por,Brignoli,Benevento,1,1,0,1,1,0,0,0
510,P,Por,Pegolo,Sassuolo,1,1,0,1,1,0,0,0
542,P,Por,Ichazo,Torino,1,1,0,1,1,0,0,0
543,P,Por,Padelli,Inter,1,1,0,1,1,0,0,0
609,P,Por,Coppola,Verona,1,1,0,1,1,0,0,0
720,P,Por,Belec,Sampdoria,1,6,-5,2,6,-4,0,0
821,P,Por,Marson,Sassuolo,1,1,0,1,1,0,0,0
1863,P,Por,Storari,Milan,1,1,0,1,1,0,0,0
1890,P,Por,Festa,Crotone,1,1,0,1,1,0,0,0
1917,P,Por,Dragowski,Fiorentina,1,1,0,2,1,1,0,0
1921,P,Por,Zima L.,Genoa,1,1,0,1,1,0,0,0
1935,P,Por,Vargic,Lazio,1,1,0,1,1,0,0,0
1970,P,Por,Tozzo,Sampdoria,1,1,0,1,1,0,0,0
2127,P,Por,Satalino,Sassuolo,1,1,0,1,1,0,0,0
2156,P,Por,Crosta,Cagliari,1,1,0,1,1,0,0,0
2211,P,Por,Silvestri,Verona,1,1,0,1,1,0,0,0
2249,P,Por,Santurro,Bologna,1,1,0,1,1,0,0,0
2251,P,Por,Viscovo,Crotone,1,1,0,1,1,0,0,0
2255,P,Por,Marchegiani,SPAL,1,1,0,1,1,0,0,0
2256,P,Por,Poluzzi,SPAL,1,1,0,1,1,0,0,0
2294,P,Por,Cerofolini,Fiorentina,1,1,0,1,1,0,0,0
2295,P,Por,Confente,Chievo,1,1,0,1,1,0,0,0
2305,P,Por,Piscitelli,Benevento,1,1,0,1,1,0,0,0
2331,P,Por,Borsellini,Udinese,1,1,0,1,1,0,0,0
322,D,Dc,De Vrij,Lazio,18,13,5,18,13,5,0,0
2214,D,Ds;E,Kolarov,Roma,16,12,4,16,12,4,0,0
392,D,Dc,Koulibaly,Napoli,15,13,2,15,13,2,0,0
15,D,Dd;Dc,Masiello,Atalanta,14,10,4,14,11,3,0,0
798,D,Dc,Skriniar,Inter,14,8,6,14,8,6,0,0
388,D,Dc,Albiol,Napoli,13,9,4,13,9,4,0,0
487,D,Dd;E,De Silvestri,Torino,13,5,8,13,5,8,0,0
621,D,Dd;E;M,Romulo,Verona,12,9,3,12,9,3,0,0
662,D,Ds;E,Alex Sandro,Juventus,12,14,-2,12,14,-2,0,0
1896,D,Ds;E,Martella,Crotone,12,5,7,12,5,7,0,0
2016,D,Dc,Fazio,Roma,12,10,2,12,10,2,0,0
2288,D,Dc,N'koulou,Torino,12,8,4,12,8,4,0,0
2310,D,Dd;E,Cancelo,Inter,12,10,2,12,10,2,0,0
286,D,Dc,Bonucci,Milan,11,14,-3,11,14,-3,0,0
459,D,Dc,Manolas,Roma,11,12,-1,11,12,-1,0,0
513,D,Dc,Acerbi,Sassuolo,11,13,-2,11,13,-2,0,0
1891,D,Dd;Dc,Ceccherini,Crotone,11,6,5,11,6,5,0,0
142,D,Ds;E,Mario Rui,Napoli,10,6,4,10,6,4,0,0
294,D,Dc,Rugani,Juventus,10,9,1,10,9,1,0,0
460,D,Dc,Romagnoli,Milan,10,10,0,10,10,0,0,0
695,D,Dc,Toloi,Atalanta,10,7,3,10,7,3,0,0
140,D,Dd;Ds;E,Hysaj,Napoli,9,8,1,10,9,1,0,0
253,D,Dd;Ds;E,D'ambrosio,Inter,9,7,2,10,8,2,0,0
257,D,Dc,Miranda,Inter,9,10,-1,9,10,-1,0,0
288,D,Ds;Dc,Chiellini,Juventus,9,13,-4,10,14,-4,0,0
492,D,Dc,Silvestre,Sampdoria,9,7,2,9,7,2,0,0
706,D,Dd;Ds;E,Ansaldi,Torino,9,6,3,9,6,3,0,0
708,D,Dc,Felipe,SPAL,9,6,3,9,6,3,0,0
1847,D,Dc,Caldara,Atalanta,9,15,-6,9,15,-6,0,0
1866,D,Dc,Ceppitelli,Cagliari,9,4,5,9,4,5,0,0
2130,D,Dd;E,Hateboer,Atalanta,9,6,3,9,6,3,0,0
2169,D,Ds;E,Rodriguez R.,Milan,9,14,-5,9,14,-5,0,0
2309,D,Dc,Pezzella Ger.,Fiorentina,9,9,0,9,9,0,0,0
287,D,Dd;Dc,Caceres,Lazio,8,7,1,8,7,1,0,0
301,D,Dd;E;M,Padoin,Cagliari,8,6,2,8,6,2,0,0
493,D,Ds;Dc,Zukanovic,Genoa,8,6,2,8,6,2,0,0
588,D,Dd;E,Widmer,Udinese,8,8,0,8,8,0,0,0
780,D,Dc,Cionek,SPAL,8,3,5,8,3,5,0,0
1931,D,Dc,Benatia,Juventus,8,11,-3,8,11,-3,0,0
1999,D,Ds;E,Lukaku J.,Lazio,8,5,3,8,5,3,0,0
2160,D,Ds;E,Gosens,Atalanta,8,2,6,8,2,6,0,0
2280,D,Dc,Nuytinck,Udinese,8,7,1,8,7,1,0,0
2315,D,Dd;E,Stryger Larsen,Udinese,8,4,4,8,4,4,0,0
78,D,Dc,Spolli,Genoa,7,4,3,7,4,3,0,0
99,D,Dd;Ds;E,Cacciatore,Chievo,7,6,1,7,7,0,0,0
101,D,Dc,Dainelli,Chievo,7,4,3,7,4,3,0,0
105,D,Ds;E,Gobbi,Chievo,7,6,1,7,6,1,0,0
169,D,Dd;Dc,Tomovic,Chievo,7,4,3,8,5,3,0,0
222,D,Dc,Burdisso,Torino,7,3,4,7,3,4,0,0
252,D,Ds;E,Biraghi,Fiorentina,7,5,2,7,5,2,0,0
357,D,Dd;E,Calabria,Milan,7,4,3,7,4,3,0,0
578,D,Dc,Danilo Lar.,Udinese,7,7,0,7,7,0,0,0
581,D,Dd;E,Faraoni,Crotone,7,2,5,7,2,5,0,0
817,D,Ds;E,Costa F,SPAL,7,5,2,7,5,2,0,0
2181,D,Dc,Palomino,Atalanta,7,5,2,7,5,2,0,0
2261,D,Dc,Vicari,SPAL,7,5,2,7,5,2,0,0
2273,D,Dc,Caracciolo A,Verona,7,5,2,7,5,2,0,0
2594,D,Dc,Lemos,Sassuolo,7,6,1,7,6,1,0,0
2720,D,Dd;E,Sagna,Benevento,7,3,4,7,3,4,0,0
49,D,Ds;E,Masina,Bologna,6,7,-1,6,7,-1,0,0
74,D,Dd;Ds;E,Letizia,Benevento,6,6,0,6,7,-1,0,0
106,D,Dd;Ds;E,Mattiello,SPAL,6,4,2,6,4,2,0,0
224,D,Dc,De Maio,Bologna,6,5,1,6,5,1,0,0
